wine,winery,category,designation,varietal,appellation,alcohol,price,rating,reviewer,review
Manu 2015 Pinot Noir (Marlborough),Manu,Red,,Pinot Noir,"Marlborough, New Zealand",13%,$20,88,Christina Pickard,"A plush, fairly flashy style, this wine starts with ripe, bright red fruit, licorice, raspberry leaf and some savory undertones. The palate bumps the style up a notch, with powerful tannins and plenty of acidity. Perhaps the more intriguing element to this Pinot is the finish: Tart cranberry and floral tones are long and lingering."
Barons 2012 Cabernet Sauvignon (Columbia Valley (WA)),Barons,Red,,Cabernet Sauvignon,"Columbia Valley (WA), Columbia Valley, Washington, US",14.1%,$45,90,Sean P. Sullivan,"The aromas explore Cabernet's greener side, with overt notes of bell pepper along with vanilla and other barrel spices. The black-fruit flavors show richness, with grainy tannins backing them up. This wine is best for those who enjoy the variety's savory aspects."
Bodega Toneles 2012 Tonel 22 Cabernet Sauvignon (Mendoza),Bodega Toneles,Red,Tonel 22,Cabernet Sauvignon,"Mendoza, Mendoza Province, Argentina",13.5%,$12,87,Michael Schachner,"Ripe plum and berry aromas are supported by a full dose of smoky, savory oak. The palate is round yet jagged, while flavors of toasty, chocolaty berry fruits are also lightly herbal and heavily oaked."
Xanadu 2006 Dragon Chardonnay (Margaret River),Xanadu,White,Dragon,Chardonnay,"Margaret River, Western Australia, Australia",12.5%,$14,85,Joe Czerwinski,"An effusively fruity, unoaked style of Chardonnay, with bold flavors of pear, apple and citrus and maybe even a touch of mango. Its charms are upfront for all to see, as it loses a bit of intensity and lacks length on the finish."
Tagaro 2017 Seicaselle Negroamaro (Salice Salentino),Tagaro,Red,Seicaselle,"Negroamaro, Italian Red","Salice Salentino, Southern Italy, Italy",14%,$14,87,Alexander Peartree,"Brandy soaked plum and plenty of sweet and savory spices grace the nose of this lush red. The palate is soft and supple, yet properly lifted by enough tangy red fruit to balance out the sweet spice flavors."
Pellegrini 2019 Rosé (Russian River Valley),Pellegrini,Rose,,Rosé,"Russian River Valley, Sonoma, California, US",13.8%,$30,90,Virginie Boone,"This is made from 90% Pinot Noir and 10% Carignan, the grapes both bled and direct-pressed to make the wine. Light, crisp and meaty on the palate, it is weighty yet balanced, a celebration of cranberry, strawberry and rhubarb flavors."
Michele Satta 2012 I Castagni  (Bolgheri Superiore),Michele Satta,Red,I Castagni,"Red Blends, Red Blends","Bolgheri Superiore, Tuscany, Italy",14%,$118,92,Kerin O’Keefe,"Made of 50% Cabernet Sauvignon, 40% Syrah and 10% Teroldego, this boasts alluring ripe black currant and white pepper aromas, with a whiff of graphite. The firm palate offers juicy blackberry, black plum and tobacco notes, held together by polished tannins. Enjoy now–2025."
Maison L'Envoyé 2014 Two Messengers Pinot Noir (Willamette Valley),Maison L'Envoyé,Red,Two Messengers,Pinot Noir,"Willamette Valley, Willamette Valley, Oregon, US",13.5%,$30,87,Paul Gregutt,"Young, bright raspberry fruit brings fresh, forward flavors front and center. There's a touch of cherry Popsicle also. It's an undeniably pretty wine, ready to drink, though don't look for much in the way of either depth or concentration."
Dão Sul 2013 Palestra Branco White (Douro),Dão Sul,White,Palestra Branco,Portuguese White,"Douro, Portugal",12.5%,,84,Roger Voss,"This is a light, soft and creamy wine, with an apricot aroma and flavor, fresh acidity and an attractive fruity aftertaste. It is crisp in green apple and grapefruit notes on the finish."
Cantine Cipressi 2006 Mekan Montepulciano (Molise),Cantine Cipressi,Red,Mekan,"Montepulciano, Italian Red","Molise, Southern Italy, Italy",13.5%,$17,88,,"Montepulciano grapes are aged six months in oak to render sweet nuances of cinnamon and toasted almond that rest over a dense core of jammy fruit. The wine is lush, soft and velvety on the finish."
Companhia das Quintas 2005 Quinta da Pancas Reserva Cabernet Sauvignon Cabernet Sauvignon (Estremadura),Companhia das Quintas,Red,Quinta da Pancas Reserva Cabernet Sauvignon,Cabernet Sauvignon,"Estremadura, Portugal",14%,$15,85,Roger Voss,"Even Cabernet Sauvignon, that defiantly international variety, takes on a Portuguese character. This has that dark chocolate, high acidity and dry, but juicy character that marks so many Portuguese reds. It also has a more unfortunate volatility that is just too prominent."
Odfjell 2004 Armador Cabernet Sauvignon (Maipo Valley),Odfjell,Red,Armador,Cabernet Sauvignon,"Maipo Valley, Chile",13.5%,$12,87,Michael Schachner,"Here's a nice and dark Cab with black licorice, clove, pepper and blackberry aromas. The palate is ripe and sweet, with roundness and serious depth. Finishes with chocolate and mint as well as some lushness."
Peter Franus 2006 Cabernet Sauvignon (Napa Valley),Peter Franus,Red,,Cabernet Sauvignon,"Napa Valley, Napa, California, US",14.8%,$40,88,,"A big, rich wine, candy-sweet in fruit and toasted oak. Shows the blackberry, cherry, nougat, roasted almond and chocolate flavors of a delicious granola bar. The tannins are a work of art, soft, intricate and refined."
Atwater 2013 North Block Six Cabernet Franc (Seneca Lake),Atwater,Red,North Block Six,Cabernet Franc,"Seneca Lake, Finger Lakes, New York, US",13%,$18,88,Anna Lee C. Iijima,"This wine is a fine showcase of Cabernet Franc's seemingly contradictory juxtaposition of ripe fruit flavors against its herbaceous green elements. Black cherry and berry flavors are succulent and mouthwatering, yet show a savory restraint anchored by swathes of ripe bramble and dusty herbs. It's an elegant yet easing drinking wine marked by fine, penetrating tannins."
Durigutti 2014 Cabernet Sauvignon (Mendoza),Durigutti,Red,,Cabernet Sauvignon,"Mendoza, Mendoza Province, Argentina",14%,$16,84,Michael Schachner,"Aromas of green bean and citrus peel struggle to impress. This feels raw and pinching, with pulling, dry tannins. Herbal red-plum flavors finish green and with an oaky note of carob."
Patz & Hall 2014 Chardonnay (Sonoma Coast),Patz & Hall,White,,Chardonnay,"Sonoma Coast, Sonoma, California, US",14.2%,$40,91,Virginie Boone,"Crafted from a range of vineyards, including Gap's Crown and some new sites in this vintage, this lovely, well-made and balanced wine is made in larger quantities than the producer's vineyard-designates and is enjoyable young. Creamy and full bodied at first, it evolves into cohesive flavors of baked pear, toasted almond and lemon-lime."
Melini 2007 Le Grillaie  (Vernaccia di San Gimignano),Melini,White,Le Grillaie,"Vernaccia, Italian White","Vernaccia di San Gimignano, Tuscany, Italy",13%,$22,85,,"A simple, no-fuss Vernaccia with clean aromas of stone fruit and passion fruit, this Tuscan white would make a good companion to pasta salad or a lunchtime sandwich. The wine doesn't have big intensity, but offers clean freshness instead."
Bodewell 2017 Pinot Noir (Willamette Valley),Bodewell,Red,,Pinot Noir,"Willamette Valley, Willamette Valley, Oregon, US",13%,$20,87,Paul Gregutt,"Pretty strawberry and milk chocolate scents introduce a new wine from a company that says its offerings are based on algorithms. This one, algorithmic or not, is a fairly ordinary bottle of Oregon Pinot, tightly wound and earthy, with some bitter phenolics."
K Vintners 2006 Morrison Lane Syrah (Walla Walla Valley (WA)),K Vintners,Red,Morrison Lane,,"Walla Walla Valley (WA), Columbia Valley, Washington, US",14.5%,$45,91,Paul Gregutt,"Black cherry and berry fruits are front and center, tannins are ripe but carry an herbal edge, and the time in barrels adds a chocolaty underpinning. The finish goes dark, with mocha, espresso, black olive and smoke, and the alcohol rests at a sensible 14.5%."
Cuatro Rayas 2005 Verdejo (Rueda),Cuatro Rayas,White,,"Verdejo, Spanish White","Rueda, Northern Spain, Spain",12.5%,$13,82,Michael Schachner,"Prickly and generic, with flat, cushy citrus flavors that don't hold court for long. Finishes mealy and pithy, with the essence of lemon juice."
Armida 2004 check price Sauvignon Blanc (Russian River Valley),Armida,White,check price,Sauvignon Blanc,"Russian River Valley, Sonoma, California, US",14.5%,$20,84,,"Herbal and bulky, with sweet apple, pear and pineapple flavors. Quite heavy on the tongue, with soft acids. Seems a bit gummy and candied, and just not that precise, despite delivering some rich flavors."
Domaine des Bouzons 2018 La Félicité Red (Côtes du Rhône),Domaine des Bouzons,Red,La Félicité,Rhône-style Red Blend,"Côtes du Rhône, Rhône Valley, France",13.5%,$18,90,Anna Lee C. Iijima,"This piquant Syrah-dominant blend is augmented by 20% Grenache. The palate is packed with black cherry and boysenberry flavors edged by sun-scorched garrigue and hits of black pepper and clove. Primary and fruit forward yet angular and fresh, the wine is ready to drink now through 2025."
Pico Maccario 2005 Cantamerli Red (Monferrato),Pico Maccario,Red,Cantamerli,"Red Blends, Red Blends","Monferrato, Piedmont, Italy",13.5%,,91,,"Here's a rich and layered blend of Barbera and Cabernet Sauvignon from Piedmont, Italy with deep layers of black fruit, spice, mesquite wood and chocolate. The wine is modern and very likeable with rich density and long-lasting flavors. The mouthfeel is smooth, round and there's a slightly sweet vanilla note on the close."
Ruby Hill Winery 2015 Jewel Collection Series Estate Reserve Malbec (Livermore Valley),Ruby Hill Winery,Red,Jewel Collection Series Estate Reserve,Malbec,"Livermore Valley, Central Coast, California, US",14.1%,$50,93,Jim Gordon,"Powerful and earthy, this rich and concentrated wine is full bodied, broad in texture and has envelope-pushing spice and leather aromas backed by well-concentrated wild-berry and plum-compote flavors of significant depth. It's seductive and lavish in character."
XYZin 2009 100 Year Old Vines Zinfandel (Dry Creek Valley),XYZin,Red,100 Year Old Vines,Zinfandel,"Dry Creek Valley, Sonoma, California, US",14.3%,$45,87,,"A big, full-bodied, rich Zinfandel, bone dry and spicy, with impressive flavors of wild berries, herbs, balsam and smoke. Needs equally big fare to stand up to, like barbecue slathered in sauce."
Louis Latour 2017  Meursault,Louis Latour,White,,Chardonnay,"Meursault, Burgundy, France",13.5%,$85,91,Anne Krebiehl MW,"Citric lift emerges from creaminess on the nose of this wine, promising freshness. The broad, round palate is still raw with yeasty notions. but a vein of lemony brightness awaits underneath. With time, the generous, creamy wine will coalesce around it. Drink 2022–2030."
Boas Quintas 2019 Herdade de Gâmbia Reserva Red (Península de Setúbal),Boas Quintas,Red,Herdade de Gâmbia Reserva,Portuguese Red,"Península de Setúbal, Portugal",14%,$19,91,Roger Voss,"This estate, in a nature reserve, has produced a deliciously fruity wine with ripe berry fruits and smooth tannins. The blend of Touriga Nacional and Syrah is rich and very ready to drink."
Quevedo 2017 Oscar's Rosé (Douro),Quevedo,Rose,Oscar's,Rosé,"Douro, Portugal",13.5%,$14,88,Roger Voss,"This smooth rich wine, dominated by Touriga Nacional, is full of both crisp fruit and bright acidity. It has a good depth of flavor, red fruits and good weight behind the attractive final acidity. Drink now."
Uptick Vineyards NV Sparkling Brut Sparkling (North Coast),Uptick Vineyards,Sparkling,Sparkling Brut,"Sparkling Blend, Sparkling","North Coast, North Coast, California, US",12.5%,$25,87,Virginie Boone,"Made from 60% Chardonnay and 40% Pinot Noir, this is a young, light sparkler with developed flavors of honey, lychee and apple. The body is crisp and medium in weight, and it finishes tart in lemon."
Rutini 2016 Trumpeter Malbec (Mendoza),Rutini,Red,Trumpeter,Malbec,"Mendoza, Mendoza Province, Argentina",13%,$11,83,Michael Schachner,"Foxy berry aromas mixed with forced-oak scents of clove create a jumpy sum of disparate parts. A tight, drawing palate is basic at best, while this tastes tart, woody and limited, with herbal plum and berry flavors on the finish."
Truchard 2000 Roussanne (Carneros),Truchard,White,,Roussanne,"Carneros, Napa-Sonoma, California, US",,$28,91,,"Crisp, lively and elegant, with peaches, pears, apricots, orange and spice flavors all beautifully integrated.  Long and bright to the very end."
Santi 2019 Folar  (Lugana),Santi,White,Folar,"Turbiana, Italian White","Lugana, Lombardy, Italy",13.5%,$15,87,Kerin O’Keefe,"Aromas suggesting toasted nut, bread dough, chamomile and stone fruit waft out of the glass. The shy, straightforward palate suggests yellow apple skin, lemon zest and a hint of bitter almond alongside crisp acidity."
Ravoire et Fils 2019 Jas Du Lauzon White (Luberon),Ravoire et Fils,White,Jas Du Lauzon,Rhône-style White Blend,"Luberon, Rhône Valley, France",13.5%,$11,87,Anna Lee C. Iijima,"Fresh lime and tangerine from 10% each of Ugni Blanc and Clairette accent this pineapple-scented Grenache-Blanc blend. An ample, rounded wine marked by soft lemon acidity and easy yellow apple and pear flavors, it's a wine at peak now but likely to hold through 2024."
Langtry 2007 Genevieve Vineyard Chardonnay (Guenoc Valley),Langtry,White,Genevieve Vineyard,Chardonnay,"Guenoc Valley, Lake County, California, US",14.5%,$30,92,,"Very rich and opulent, a Chardonnay that can stand on its own alongside most anything from the Russian River. Crisp in acidity, and fueled with oak, it shows complex flavors of pineapples, Asian pears, buttered cinnamon toast, vanilla custard and smoke."
Teanum 2009 Òtre Primitivo (Puglia),Teanum,Red,Òtre,"Primitivo, Zinfandel","Puglia, Southern Italy, Italy",15%,$18,85,,This pure expression of Primitivo is partially aged in oak for added extra structure and concentration. The bouquet here is characterized by jammy strawberry and bitter almond notes.
Bailly-Lapierre NV Réserve Brut  (Crémant de Bourgogne),Bailly-Lapierre,Sparkling,Réserve Brut,"Sparkling Blend, Sparkling","Crémant de Bourgogne, Burgundy, France",12%,$23,89,Roger Voss,"Bright and fruity, this is an apple and crisp green-fruit-flavored wine. There is a hint of the maturity to come, giving a light toastiness while the fruit remains crisp and refreshing. Drink now."
